JerseyNo,Date,Opp,TRB,AST,STL,PTS
21,2018-02-27,PHI,11,3,3,15
21,2018-03-01,LAL,7,0,0,6
21,2018-03-03,DET,19,1,0,8
21,2018-03-05,PHO,14,2,2,24
21,2018-03-06,WAS,6,1,0,8
21,2018-03-08,PHI,8,2,1,26
21,2018-03-10,WAS,0,0,0,0
21,2018-03-12,POR,0,0,0,0
21,2018-03-14,SAC,0,0,0,0
21,2018-03-16,LAL,0,0,0,0
21,2018-03-19,DEN,0,0,0,0
21,2018-03-21,NYK,0,0,0,0
21,2018-03-23,OKC,0,0,0,0
21,2018-03-25,IND,0,0,0,0
21,2018-03-27,CLE,0,0,0,0
21,2018-03-29,CHI,7,4,1,8
21,2018-03-31,BRK,6,0,1,14
21,2018-04-03,ATL,12,0,0,18
21,2018-04-04,ATL,13,2,0,4
21,2018-04-06,NYK,6,0,0,14
21,2018-04-09,OKC,8,1,0,16
21,2018-04-11,TOR,12,2,0,10
20,2017-10-18,ORL,4,2,1,10
20,2017-10-21,IND,6,0,1,6
20,2017-10-23,ATL,5,1,1,8
20,2017-10-25,SAS,1,1,0,4
